id,street,city,zip
11000828,135 Hill Street,Asheville,28801
11000831,104 Peachtree Road,Asheville,28803
11000838,60 Ridgelawn Road,Asheville,28806
11000840,1 Floyd Drive,Asheville,28803
11000858,101 Carver Avenue,Black Mountain,28711
11000860,544 Kimberly Avenue,Asheville,28804
11000861,158 Bradley Branch Road,Arden,28704
11000862,125 Hill Street,Asheville,28801
11000871,14 Legend Drive,Arden,28704
11000879,410 East State Street,Black Mountain,28711
11000880,48 Woodland Hills Road,Asheville,28804
11000883,27 Cordova Street,Asheville,28806
11000885,1 School Road,Asheville,28806
11000890,235 Old Us 70 Hwy,Swannanoa,28778
1150844,916 West Chapel Road,Asheville,28803
1151885,5 Oak Street,Asheville,28801
1152012,789a  Merrimon Ave,Asheville,28804
1152144,40 Church Street,Asheville,28801
1152301,27 Cordova Street,Asheville,28806
1153238,419 Mcdowell Street,Asheville,28803
1155002,100 Atkinson Street,Asheville,28801
1155033,201 Mount  Carmel Road,Asheville,28806
1155046,1 Rocket Drive,Asheville,28803
1155052,51 Wilburn Place,Asheville,28806
1155068,2 Compton Drive,Asheville,28806
1155069,60 Lees Creek Road,Asheville,28806
1155147,250 Overlook Rd,Asheville,28803
1155158,89 Salola St,Asheville,28806
1155165,67 Furman Ave,Asheville,28801
1155171,84 Snow Hill Church Rd,Candler,28715
1155181,98 Sulpher Springs Road,Asheville,28806
1155191,12 Culvern Street,Asheville,28804
1159001,385 Hazel Mill Road,Asheville,28806
12000110,1182 Oak Hill Drive,Morganton,28655
12000349,547 Conley Road,Morganton,28655
12000367,2463 Byrd Road,Morganton,28655
12000391,505 West Main Street,Morganton,28655
12000405,7068 Garmon Street,Connelly Springs,28612
12000411,203 Rolling Green Drive,Morganton,28655
1250055,206 North Street,Morganton,28655
12000074,240 Bravard St,Rutherford Colle,28671
12000093,2178 Hwy 70,Connelly Springs,28612
12000175,800 N Green Street,Morganton,28655
12000189,113 Bost Road,Morganton,28655
12000190,500 Faet St  Nw,Valdese,28690
12000251,402 Mountain View Drive,Morganton,28655
12000273,1183 Cape Hickory Road,Hickory,28601
12000274,703 Us Hwy 70 West,Hildebran,28637
12000277,8078 George Hildebrand Sch Rd,Connelly Springs,28612
12000283,3710 Kathy Road,Morganton,28655
12000285,2363 Nc Hwy181 N,Morganton,28655
12000287,325 Conley Road,Morganton,28655
12000291,3087 Icard School Road,Connelly Springs,28612
12000294,201 Tennessee Street,Morganton,28655
12000295,302 London Street,Morganton,28655
12000299,100 Alta Visit Street,Morganton,28655
12000303,1329 Salem Road,Morganton,28655
12000305,1140 Old Nc 18,Morganton,28655
12000306,8078 Geo Hildebrand School Rd,Connelly Springs,28612
12000312,1329 Salem Road,Morganton,28655
12000316,325 Conley Road,Morganton,28655
12000319,3087 Icard School Road,Connelly Springs,28612
12000320,100 Alta Vista Street,Morganton,28655
12000322,2363 Nc 181,Morganton,28655
12000323,298 Praley Street,Valdese,28690
12000330,304 Ann Street,Morganton,28655
12000333,298 Praley Street,Valdese,28690
12000335,1183 Cape Hickory Road,Hickory,28601
12000337,1140 Old Nc 18 South,Morganton,28655
12000339,302 London Street,Morganton,28655
12000344,703 Us Hwy  70 W,Hildebran,28637
12000360,401 Morgan Street,Valdese,28690
12000390,305 West Concord Street,Morganton,28655
12000397,3681 Curley's Fish Camp Road,Connelly Springs,28612
12000403,523 Enola Road,Morganton,28655
12000404,2945 Us 70,Connelly Springs,28612
12000412,501 East Concord Street,Morganton,28655
12000413,675 Summers Road,Morganton,28655
12000416,631 Malcolm Blvd,Rutherford College,28671
12000421,525 Hopewell Road,Morganton,28655
12000423,805 Bouchelle Street,Morganton,28655
12000424,805 Bouchelle Street,Morganton,28655
1255119,502 W Union Street,Morganton,28655
1259006,407 S  Green Street,Morganton,28655
13000024,2384 Cold Springs Road,Concord,28025
13000193,152 Cedar Dr Nw,Concord,28025
13000258,412 Hudson Drive,Harrisburg,28075
13000259,1505 Derbyshire Rd,Kannapolis,28081
13000274,5501 Historic Spring Drive,Concord,28025
13000297,4216 Sebring Ct,Concord,28025
13000317,3576 Cedar Springs Dr,Concord,28027
13000388,850 Family Drive,Midland,28107
13000389,5905 Eastridge Court,Concord,28025
13000477,2129 Clear Brook Drive,Kannapolis,28083
13000478,4023 Clover Road Nw,Concord,28027
13000480,247 James Street,Kannapolis,28083
13000509,4520 Lanstone Ct Sw,Concord,28027
13000510,7335 Mill Ruins Ave Sw,Concord,28025
1305130,329 Moore Place,Concord,28025
13000087,4065 Poplar Tent Road,Concord,28027
13000088,3505 S  Ridge Ave,Concord,28025
13000121,4401 Weddington Rd,Concord,28027
13000143,375 George W Liles Parkway Nw,Concord,28027
13000144,5454 Rocky River Rd,Concord,28025
13000148,210 Cook St,Kannapolis,28083
13000160,8555 North Drive,Mount Pleasant,28124
13000185,1400 Gold Rush Dr,Concord,28025
13000200,3900 Stallings Road,Harrisburg,28075
13000227,220 Oakley Street,Harrisburg,28075
13000237,1450 Cox Mill Road,Concord,28027
13000255,2300 Roberta Road,Concord,28027
13000257,185 Rone Avenue,Concord,28025
13000262,7526 Ruben Linker Rd,Concord,28027
13000265,3056 Weddington Road,Concord,28027
13000266,200 Mall Drive,Concord,28025
13000278,204 Cook Street,Kannapolis,28083
13000279,2425 Midland Road,Midland,28107
13000282,212 Prince St,Kannapolis,28083
13000286,5401 Vining Street,Concord,28027
13000289,9870 Hwy 601 S,Midland,28107
13000300,1400 Gold Rush Drive,Concord,28025
13000307,720 Pitts School Road,Concord,28027
13000319,4160 Zion Church Road,Concord,28025
13000350,5150 Dove Field Lane,Kannapolis,28081
13000351,2725 Clover Road Nw,Concord,28027
13000353,1215 Moss Farm Road,Concord,28027
13000379,202 Mcgill Avenue,Concord,28025
13000390,265 Manor Avenue,Concord,28027
13000412,1510 Holden Road,Concord,28025
13000413,3939 Abilene Road,Concord,28025
13000415,3801 Hwy 601 South,Concord,28025
13000432,8333 Poplar Tent Road,Concord,28027
13000445,4220 Orphanage Road,Concord,28027
13000450,10080 Edison Square Drive Nw,Concord,28027
13000451,375 Winecoff School Road,Concord,28027
13000453,5454 Rocky River Road,Concord,28025
13000454,2725 Clover Road,Concord,28027
13000458,421 Terrace Drive,Kannapolis,28083
13000483,2 Lowe Avenue,Concord,28027
13000490,320 Russell Street,Kannapolis,28083
13000493,120 Robinson Avenue,Harrisburg,28075
13000499,985 Central Avenue Nw,Concord,28027
13000501,9525 Stafford Road,Charlotte,28215
13000512,1945 Old Earnhardt Road,Kannapolis,28083
13000514,339 Davidson Highway,Concord,28027
13000515,4227 Mt Pleasant Road S,Concord,28025
13000516,360 Coddle Market Dr Nw,Concord,28027
13000517,3650 Ruckus Road,Harrisburg,28075
13000519,9430 Moss Plantation Avenue Nw,Concord,28027
13000527,1009 S Union Street,Concord,28025
13000528,1885 Odell School Road,Concord,28027
13000529,525 Lake Concord Road,Concord,28025
13000539,104 Union Street S,Concord,28025
13000540,266 Young Ave  Sw,Concord,28025
13000542,608 Dakota Street,Kannapolis,28083
13000544,310 Kerr Street Nw,Concord,28025
13000545,708 Arbor Street,Concord,28025
13000547,320 Coddle Market Drive Nw,Concord,28027
13000549,1951 Derita Road,Concord,28027
1355025,150 Warren C Coleman Blvd,Concord,28027
1355043,204 Booker Street Sw,Concord,28025
1355084,150 Wolf Meadow Drive,Concord,28027
1355086,61 Spring Street,Concord,28025
1355088,541 Sunnyside Drive,Concord,28025
1355089,87 Pallaside Drive,Concord,28025
1355090,375 Winecoff School Road,Concord,28025
1355099,140 Pitts School Rd,Concord,28027
1359000,904 Chipola Street,Kannapolis,28083
1359004,4145 Odell School Road,Concord,28027
1359007,320 Cook Street,Kannapolis,28083
14000022,1120 Taylorsville Rd,Lenoir,28645
14000125,1183 Zacks Fork Road,Lenoir,28645
14000149,1617 Cajah Mtn Road,Hudson,28638
14000238,5451 Peaceful Ln,Granite Falls,28630
14000343,314 Stonewall Street,Lenoir,28645
14000356,3001 Ramblewood Drive,Granite Falls,28630
14000375,515 Hartley Place,Lenoir,28645
14000400,6241 Rocky Mount Rd,Granite Falls,28630
14000405,1657 Orchard Dr,Lenoir,28645
14000018,1440 Blowing Rock Blvd,Lenoir,28645
14000051,321 Sunset Street,Hudson,28638
14000101,9 Circle Street,Granite Falls,28630
14000117,4888 Lackey Place,Lenoir,28645
14000144,1302 Norwood Street,Lenoir,28645
14000156,1002 Lower Creek Dr  Ne,Lenoir,28645
14000199,1130 Rosedale Drive,Lenoir,28645
14000216,2228 Olde Well Rd,Hudson,28638
14000220,493 Pine Mountain Rd,Hudson,28638
14000288,529 Circle Drive,Hudson,28638
14000292,1500 Dudley Shoals School Road,Granite Falls,28630
14000293,4436 Sawmills School Road,Granite Falls,28630
14000295,630 Lower Creek Drive Ne,Lenoir,28645
14000296,1350 Yadkin River Road,Patterson,28661
14000297,4690 Collettsville School Road,Collettsville,28611
14000305,1211 Acorn Court,Lenoir,28645
14000307,12 Dudley Avenue,Granite Falls,28630
14000317,1500 Dudley Shoals Rd,Granite Falls,28630
14000318,111 Elizabeth Drive Nw,Lenoir,28645
14000319,3680 Wilkesboro Blvd,Lenoir,28645
14000320,2904 Morganton Blvd,Lenoir,28645
14000321,111 Elizabeth Drive Nw,Lenoir,28645
14000322,200 Roy E Coffey Drive,Hudson,28638
14000323,1425 Berkley Street Sw,Lenoir,28645
14000326,1400 Baton School Road,Granite Falls,28630
14000327,60 North Highland Avenue,Granite Falls,28630
14000328,1425 Berkley Street Sw,Lenoir,28645
14000350,2904 Morganton Blvd,Lenoir,28645
14000357,1966 K Morganton Blvd Sw,Lenoir,28645
14000364,6062 Petra Mill Road,Granite Falls,28630
14000367,2126 Sw Haven Circle,Lenoir,28645
14000374,3569 High West Drive,Lenoir,28645
14000378,200 Roy E Coffey Drive,Hudson,28638
14000380,1173 Dragstrip Road,Hudson,28638
14000384,205 Portwood Circle,Lenoir,28645
14000385,605 Harper Avenue Sw,Lenoir,28645
14000386,3680 Wilkesboro Boulevard,Lenoir,28645
14000390,901 College Avenue Sw,Lenoir,28645
14000394,1619 Walt Arney Road,Lenoir,28645
14000401,1400 Baton School Road,Granite Falls,28630
14000402,1431 Cajah Mountain Road,Hudson,28638
14000408,4436 Sawmills School Road,Granite Falls,28630
14000409,1108 Rosedale Drive,Lenoir,28645
14000410,2145 Kincaid Hill Road,Lenoir,28645
14000411,304 Main Street Nw,Lenoir,28645
14000414,405 Vance Street,Lenoir,28645
14000416,901 College Ave Sw,Lenoir,28645
14000417,609 Harper Avenue Sw,Lenoir,28645
14000419,60 North Highland Avenue,Granite Falls,28630
14000420,1350 Yadkin River Road,Lenoir,28645
14000423,4603 Oak Hill School Road,Lenoir,28645
14000424,4690 Collettsville School Drive,Collettsville,28611
1455043,5638 Grace Chapel Road,Hickory,28601
1455053,2322 Keith Avenue,Granite Falls,28630
1455075,7035 Spartan Dr,Hudson,28638
1455097,4111 Austin Rd,Hudson,28638
1455107,1302 Norwood Drive,Lenoir,28645
1455112,50 Pinewood Plaza Drive,Granite Falls,28630
15000010,129 Chantilly Road,Camden,27921
15000017,118 Otters Place,South Mills,27976
15000015,175 Nc Highway North 343,Camden,27921
15000016,175 Nc Highway North 343,Camden,27921
15000020,149 Us Highway 158 West,Camden,27921
15000022,151 Gumberry Road,Camden,27921
16000138,164 Millicent Ct,Newport,28570
16000152,1907 Joslyn Drive,Morehead City,28557
16000181,245 Barrington Ridge Rd,Newport,28570
16000191,1517 Hwy 24,Newport,28570
16000019,1011 Orange Street,Newport,28570
16000038,130 Fort Benjamin Rd,Newport,28570
16000072,204 N 18th Street,Morehead City,28557
16000090,5601 Hwy 70 E,Newport,28570
16000127,219 Chatham Street,Newport,28570
16000128,174 Marshallberg Road,Smyrna,28579
16000130,4409 Country Club Road,Morehead City,28557
